EventIndex 	 Time 	 Duration 	 EventType 	 Accepted 	 TotalRev 	 TotalCost 	 AvgNodeUtilization 	 AvgLinkUtilization 	 MIPExecTime
0  62  277  ARRIVE  true     35.9398     35.9398      0.0108      0.0028  0.1
1  125  732  ARRIVE  true     38.1573     38.1573      0.0273      0.0055  0.1
2  187  451  ARRIVE  true     38.2424     38.2424      0.0455      0.0083  0.1
3  250  835  ARRIVE  true    121.3764    121.3764      0.0841      0.0206  169.8
4  312  396  ARRIVE  true    127.2840    127.2840      0.1172      0.0356  50.8
0  339  277  DEPART  true     35.9398     35.9398      0.1064      0.0328  0.1
5  375  1464  ARRIVE  true    108.4921    108.4921      0.1418      0.0438  118.8
6  437  278  ARRIVE  true     51.6153     51.6153      0.1592      0.0468  0.1
7  500  2505  ARRIVE  true     37.5115     37.5115      0.1710      0.0495  0.2
8  562  909  ARRIVE  true     76.7837     76.7837      0.1976      0.0545  39.8
9  625  451  ARRIVE  true     51.8993     51.8993      0.2132      0.0582  0.1
2  638  451  DEPART  true     38.2424     38.2424      0.1950      0.0554  0.1
10  687  295  ARRIVE  false    126.7956      0.0000      0.1950      0.0554  null
4  708  396  DEPART  true    127.2840    127.2840      0.1620      0.0404  50.8
6  715  278  DEPART  true     51.6153     51.6153      0.1445      0.0374  0.1
11  750  1021  ARRIVE  true     69.7475     69.7475      0.1702      0.0429  3.8
12  812  479  ARRIVE  true    123.8696    123.8696      0.2055      0.0557  144.5
1  857  732  DEPART  true     38.1573     38.1573      0.1890      0.0530  0.1
13  875  1127  ARRIVE  true     94.7321     94.7321      0.2209      0.0630  38.3
14  937  744  ARRIVE  true    107.5072    107.5072      0.2538      0.0754  153.1
15  1000  1528  ARRIVE  true    132.2745    132.2745      0.2916      0.0910  52.1
16  1062  482  ARRIVE  true    125.0814    125.0814      0.3290      0.1063  208.8
9  1076  451  DEPART  true     51.8993     51.8993      0.3134      0.1026  0.1
3  1085  835  DEPART  true    121.3764    121.3764      0.2748      0.0903  169.8
17  1125  1090  ARRIVE  true    107.4180    107.4180      0.3131      0.0999  49.9
18  1187  372  ARRIVE  true    114.2180    114.2180      0.3462      0.1136  113.6
12  1291  479  DEPART  true    123.8696    123.8696      0.3109      0.1008  144.5
19  1309  596  ARRIVE  true     76.2502     76.2502      0.3347      0.1086  17.4
20  1369  1271  ARRIVE  true     90.4512     90.4512      0.3611      0.1173  14.5
21  1428  837  ARRIVE  true    107.8160    107.8160      0.3922      0.1310  30.9
8  1471  909  DEPART  true     76.7837     76.7837      0.3657      0.1261  39.8
22  1488  1135  ARRIVE  true    127.7068    127.7068      0.4070      0.1404  504.5
16  1544  482  DEPART  true    125.0814    125.0814      0.3695      0.1252  208.8
23  1547  806  ARRIVE  true    126.3412    126.3412      0.4066      0.1380  248.3
18  1559  372  DEPART  true    114.2180    114.2180      0.3736      0.1244  113.6
24  1607  844  ARRIVE  true     39.0459     39.0459      0.3906      0.1264  0.1
25  1666  477  ARRIVE  true     91.3468     91.3468      0.4226      0.1338  177.6
14  1681  744  DEPART  true    107.5072    107.5072      0.3898      0.1214  153.1
26  1726  1225  ARRIVE  true    132.5537    132.5537      0.4206      0.1379  119.8
11  1771  1021  DEPART  true     69.7475     69.7475      0.3949      0.1324  3.8
27  1785  3249  ARRIVE  true     52.4490     52.4490      0.4214      0.1355  0.1
5  1839  1464  DEPART  true    108.4921    108.4921      0.3860      0.1245  118.8
