EventIndex 	 Time 	 Duration 	 EventType 	 Accepted 	 TotalRev 	 TotalCost 	 AvgNodeUtilization 	 AvgLinkUtilization 	 MIPExecTime
0  62  323  ARRIVE  true     42.0437     88.6084      0.0297      0.0044  0.3
1  125  626  ARRIVE  true     44.3728     94.4809      0.0601      0.0103  0.5
2  187  2498  ARRIVE  true     41.6176     90.4682      0.0889      0.0161  2.3
3  250  453  ARRIVE  true    142.1061    301.8334      0.1697      0.0409  17.2
4  312  1485  ARRIVE  true    147.2817    349.1327      0.2420      0.0787  300.3
5  375  392  ARRIVE  true    129.6203    270.2295      0.3134      0.0952  327.5
0  385  323  DEPART  true     42.0437     88.6084      0.2837      0.0908  0.3
6  437  1002  ARRIVE  true     62.9026    129.7523      0.3275      0.0965  0.4
7  500  685  ARRIVE  true     47.6594     96.7111      0.3525      0.1014  0.5
8  562  2805  ARRIVE  false     88.7201      0.0000      0.3525      0.1014  null
9  625  1078  ARRIVE  false     62.2003      0.0000      0.3525      0.1014  null
10  687  268  ARRIVE  true    143.1265    339.8632      0.4279      0.1299  59.5
3  703  453  DEPART  true    142.1061    301.8334      0.3471      0.1051  17.2
11  750  1174  ARRIVE  true     79.8078    170.0365      0.3978      0.1165  337.1
1  751  626  DEPART  true     44.3728     94.4809      0.3673      0.1105  0.5
5  767  392  DEPART  true    129.6203    270.2295      0.2959      0.0940  327.5
12  812  349  ARRIVE  false    134.2026      0.0000      0.2959      0.0940  null
13  875  250  ARRIVE  true    111.2430    231.9697      0.3582      0.1126  7.9
14  937  1594  ARRIVE  true    121.0963    261.8029      0.4189      0.1323  7.9
10  955  268  DEPART  true    143.1265    339.8632      0.3435      0.1038  59.5
15  1000  335  ARRIVE  true    160.1105    380.6160      0.4150      0.1418  5.7
16  1062  1253  ARRIVE  false    150.3429      0.0000      0.4150      0.1418  null
17  1125  1817  ARRIVE  true    122.1104    266.5704      0.4918      0.1595  82.6
13  1125  250  DEPART  true    111.2430    231.9697      0.4295      0.1408  7.9
7  1185  685  DEPART  true     47.6594     96.7111      0.4045      0.1359  0.5
18  1187  552  ARRIVE  true    125.8900    276.7890      0.4780      0.1650  127.2
19  1309  751  ARRIVE  true     84.9535    184.6639      0.5212      0.1806  1.4
15  1335  335  DEPART  true    160.1105    380.6160      0.4497      0.1426  5.7
20  1369  380  ARRIVE  true    104.5382    256.6720      0.4911      0.1664  10.8
21  1428  443  ARRIVE  true    122.3770    310.5244      0.5500      0.1951  54.7
6  1439  1002  DEPART  true     62.9026    129.7523      0.5062      0.1894  0.4
22  1488  469  ARRIVE  true    145.5200    359.1041      0.5743      0.2253  7.1
23  1547  1422  ARRIVE  true    147.9821    386.5661      0.6429      0.2630  6.1
24  1607  675  ARRIVE  true     44.9502     94.9035      0.6757      0.2671  0.1
25  1666  253  ARRIVE  false    109.1361      0.0000      0.6757      0.2671  null
26  1726  3382  ARRIVE  false    155.4815      0.0000      0.6757      0.2671  null
18  1739  552  DEPART  true    125.8900    276.7890      0.6022      0.2381  127.2
20  1749  380  DEPART  true    104.5382    256.6720      0.5608      0.2143  10.8
27  1785  320  ARRIVE  true     65.5964    169.9872      0.5996      0.2235  0.1
4  1797  1485  DEPART  true    147.2817    349.1327      0.5273      0.1857  300.3
28  1845  275  ARRIVE  true     86.9072    189.8224      0.5867      0.1992  14.3
21  1871  443  DEPART  true    122.3770    310.5244      0.5278      0.1704  54.7
29  1904  437  ARRIVE  true    142.8075    338.3617      0.5997      0.1986  32.9
11  1924  1174  DEPART  true     79.8078    170.0365      0.5490      0.1873  337.1
22  1957  469  DEPART  true    145.5200    359.1041      0.4810      0.1514  7.1
30  1964  1234  ARRIVE  true    139.5576    318.9719      0.5462      0.1842  9.4
31  2023  2580  ARRIVE  false    147.2498      0.0000      0.5462      0.1842  null
19  2060  751  DEPART  true     84.9535    184.6639      0.5030      0.1685  1.4
32  2083  918  ARRIVE  true     54.5082    113.4890      0.5318      0.1768  0.7
27  2105  320  DEPART  true     65.5964    169.9872      0.4930      0.1676  0.1
28  2120  275  DEPART  true     86.9072    189.8224      0.4336      0.1542  14.3
33  2142  287  ARRIVE  true     57.2195    125.8954      0.4784      0.1634  4.5
34  2202  664  ARRIVE  true    131.1824    308.4373      0.5448      0.1873  70.5
35  2261  250  ARRIVE  true     93.2595    226.7477      0.5944      0.2109  3.2
24  2282  675  DEPART  true     44.9502     94.9035      0.5616      0.2068  0.1
36  2321  2218  ARRIVE  true     86.2322    189.3358      0.6089      0.2241  24.2
29  2341  437  DEPART  true    142.8075    338.3617      0.5370      0.1959  32.9
37  2380  859  ARRIVE  true     39.8757     84.3519      0.5583      0.2017  1.8
33  2429  287  DEPART  true     57.2195    125.8954      0.5136      0.1925  4.5
38  2440  956  ARRIVE  true    116.9032    237.7287      0.5740      0.2085  3.3
35  2511  250  DEPART  true     93.2595    226.7477      0.5244      0.1849  3.2
14  2531  1594  DEPART  true    121.0963    261.8029      0.4636      0.1653  7.9
39  2544  565  ARRIVE  true    153.0264    392.1524      0.5344      0.2076  16.5
40  2589  1446  ARRIVE  true    105.2209    230.8336      0.5921      0.2243  5.3
41  2633  303  ARRIVE  true     94.6493    277.4043      0.6454      0.2504  0.5
42  2678  452  ARRIVE  false    119.4961      0.0000      0.6454      0.2504  null
2  2685  2498  DEPART  true     41.6176     90.4682      0.6166      0.2446  2.3
43  2723  2223  ARRIVE  false     78.5849      0.0000      0.6166      0.2446  null
44  2767  1317  ARRIVE  false    130.7215      0.0000      0.6166      0.2446  null
45  2812  2551  ARRIVE  false     78.1044      0.0000      0.6166      0.2446  null
46  2857  548  ARRIVE  false    135.6787      0.0000      0.6166      0.2446  null
34  2866  664  DEPART  true    131.1824    308.4373      0.5501      0.2206  70.5
47  2901  271  ARRIVE  true     93.4695    197.6027      0.6061      0.2356  1.8
41  2936  303  DEPART  true     94.6493    277.4043      0.5528      0.2095  0.5
17  2942  1817  DEPART  true    122.1104    266.5704      0.4761      0.1919  82.6
48  2946  631  ARRIVE  true    110.7308    259.9309      0.5203      0.2134  21.0
23  2969  1422  DEPART  true    147.9821    386.5661      0.4516      0.1756  6.1
49  2991  997  ARRIVE  true     62.1024    144.4578      0.4931      0.1854  0.4
32  3001  918  DEPART  true     54.5082    113.4890      0.4643      0.1771  0.7
50  3035  999  ARRIVE  true     88.9212    191.1530      0.5118      0.1879  1.2
51  3080  1430  ARRIVE  true     58.2769    126.7946      0.5456      0.1939  0.1
39  3109  565  DEPART  true    153.0264    392.1524      0.4748      0.1516  16.5
52  3125  540  ARRIVE  true    151.7766    346.6647      0.5390      0.1844  49.1
53  3169  783  ARRIVE  true    141.3414    306.0896      0.6024      0.2189  166.6
47  3172  271  DEPART  true     93.4695    197.6027      0.5464      0.2039  1.8
30  3198  1234  DEPART  true    139.5576    318.9719      0.4812      0.1711  9.4
54  3214  309  ARRIVE  true    133.1314    304.9206      0.5451      0.2010  8.0
37  3239  859  DEPART  true     39.8757     84.3519      0.5238      0.1951  1.8
55  3258  4262  ARRIVE  true     80.7677    177.3343      0.5726      0.2056  1.4
56  3303  1861  ARRIVE  true     80.5865    176.0015      0.6183      0.2208  7.1
57  3348  2101  ARRIVE  false    101.8783      0.0000      0.6183      0.2208  null
58  3392  823  ARRIVE  false    138.5875      0.0000      0.6183      0.2208  null
38  3396  956  DEPART  true    116.9032    237.7287      0.5579      0.2048  3.3
59  3437  3657  ARRIVE  true     52.5917    111.9230      0.5911      0.2108  0.1
60  3482  737  ARRIVE  false     63.9269      0.0000      0.5911      0.2108  null
54  3523  309  DEPART  true    133.1314    304.9206      0.5272      0.1810  8.0
61  3526  1388  ARRIVE  true     66.2850    136.9333      0.5667      0.1875  0.0
62  3571  626  ARRIVE  true    128.0437    289.3859      0.6332      0.2175  6.5
48  3577  631  DEPART  true    110.7308    259.9309      0.5890      0.1961  21.0
63  3616  1056  ARRIVE  true    105.1798    238.4906      0.6383      0.2168  4.6
64  3660  498  ARRIVE  true     96.6506    259.5175      0.6821      0.2455  0.4
52  3665  540  DEPART  true    151.7766    346.6647      0.6179      0.2127  49.1
65  3705  1093  ARRIVE  true     76.3401    170.8365      0.6661      0.2249  21.2
66  3828  2347  ARRIVE  true    119.6720    274.3254      0.7280      0.2462  90.8
67  3906  1367  ARRIVE  true     99.0519    276.3940      0.7719      0.2770  2.8
53  3952  783  DEPART  true    141.3414    306.0896      0.7085      0.2425  166.6
68  3984  1605  ARRIVE  false    155.7508      0.0000      0.7085      0.2425  null
49  3988  997  DEPART  true     62.1024    144.4578      0.6670      0.2328  0.4
50  4034  999  DEPART  true     88.9212    191.1530      0.6195      0.2220  1.2
40  4035  1446  DEPART  true    105.2209    230.8336      0.5618      0.2053  5.3
69  4062  976  ARRIVE  true     55.7872    116.8435      0.5971      0.2099  0.1
70  4140  729  ARRIVE  true    110.0135    254.9470      0.6534      0.2318  5.3
64  4158  498  DEPART  true     96.6506    259.5175      0.6096      0.2031  0.4
62  4197  626  DEPART  true    128.0437    289.3859      0.5431      0.1730  6.5
71  4218  790  ARRIVE  true     98.4031    220.5562      0.6027      0.1946  355.2
72  4296  684  ARRIVE  true     80.4783    175.9107      0.6540      0.2063  3.7
73  4375  1154  ARRIVE  true     44.1316     98.8562      0.6785      0.2123  0.2
74  4453  545  ARRIVE  true     63.2757    158.2802      0.7131      0.2248  0.0
51  4510  1430  DEPART  true     58.2769    126.7946      0.6794      0.2188  0.1
75  4531  250  ARRIVE  false    104.1356      0.0000      0.6794      0.2188  null
36  4539  2218  DEPART  true     86.2322    189.3358      0.6321      0.2016  24.2
76  4609  418  ARRIVE  false     59.6628      0.0000      0.6321      0.2016  null
63  4672  1056  DEPART  true    105.1798    238.4906      0.5829      0.1809  4.6
77  4687  3915  ARRIVE  true    129.4783    303.6321      0.6517      0.2072  140.8
78  4765  1647  ARRIVE  true     54.7428    117.5394      0.6873      0.2113  0.3
65  4798  1093  DEPART  true     76.3401    170.8365      0.6391      0.1991  21.2
79  4843  1438  ARRIVE  true     53.1941    117.6384      0.6839      0.2043  0.4
70  4869  729  DEPART  true    110.0135    254.9470      0.6275      0.1824  5.3
61  4914  1388  DEPART  true     66.2850    136.9333      0.5880      0.1759  0.0
80  4921  703  ARRIVE  true     51.4371    112.9227      0.6227      0.1817  0.4
72  4980  684  DEPART  true     80.4783    175.9107      0.5714      0.1701  3.7
74  4998  545  DEPART  true     63.2757    158.2802      0.5368      0.1575  0.0
71  5008  790  DEPART  true     98.4031    220.5562      0.4771      0.1359  355.2
69  5038  976  DEPART  true     55.7872    116.8435      0.4419      0.1313  0.1
81  5065  376  ARRIVE  false    125.0330      0.0000      0.4419      0.1313  null
82  5131  926  ARRIVE  true     90.5685    198.4208      0.4959      0.1438  2.7
56  5164  1861  DEPART  true     80.5865    176.0015      0.4502      0.1286  7.1
83  5197  491  ARRIVE  true     48.3855    108.1514      0.4841      0.1342  1.6
84  5263  481  ARRIVE  true     80.0534    171.8847      0.5272      0.1494  14.5
67  5273  1367  DEPART  true     99.0519    276.3940      0.4833      0.1187  2.8
85  5328  708  ARRIVE  true     39.8979     82.5350      0.5101      0.1227  0.5
86  5394  681  ARRIVE  true     65.8784    135.6626      0.5493      0.1312  0.1
87  5460  1528  ARRIVE  true    102.9076    262.0680      0.6043      0.1572  0.4
88  5526  323  ARRIVE  false    138.5609      0.0000      0.6043      0.1572  null
73  5529  1154  DEPART  true     44.1316     98.8562      0.5798      0.1512  0.2
89  5592  640  ARRIVE  false     90.9230      0.0000      0.5798      0.1512  null
80  5624  703  DEPART  true     51.4371    112.9227      0.5451      0.1454  0.4
90  5657  1035  ARRIVE  true     53.5668    109.2493      0.5758      0.1520  0.2
83  5688  491  DEPART  true     48.3855    108.1514      0.5419      0.1464  1.6
91  5723  492  ARRIVE  true    132.6145    329.4555      0.6046      0.1816  9.5
84  5744  481  DEPART  true     80.0534    171.8847      0.5615      0.1663  14.5
92  5789  477  ARRIVE  true    124.6046    329.8534      0.6275      0.1998  1.4
93  5855  1862  ARRIVE  false    114.6929      0.0000      0.6275      0.1998  null
94  5921  1415  ARRIVE  true     53.9900    117.0349      0.6639      0.2050  0.2
95  5986  1138  ARRIVE  false    143.8270      0.0000      0.6639      0.2050  null
85  6036  708  DEPART  true     39.8979     82.5350      0.6371      0.2009  0.5
96  6052  1974  ARRIVE  false     61.5748      0.0000      0.6371      0.2009  null
82  6057  926  DEPART  true     90.5685    198.4208      0.5831      0.1885  2.7
86  6075  681  DEPART  true     65.8784    135.6626      0.5438      0.1801  0.1
97  6118  2102  ARRIVE  true    123.1058    260.5983      0.6140      0.1981  9.7
66  6175  2347  DEPART  true    119.6720    274.3254      0.5521      0.1768  90.8
98  6184  738  ARRIVE  true    135.6197    302.5566      0.6265      0.2039  42.3
91  6215  492  DEPART  true    132.6145    329.4555      0.5638      0.1687  9.5
92  6266  477  DEPART  true    124.6046    329.8534      0.4978      0.1353  1.4
79  6281  1438  DEPART  true     53.1941    117.6384      0.4531      0.1301  0.4
