EventIndex 	 Time 	 Duration 	 EventType 	 Accepted 	 TotalRev 	 TotalCost 	 AvgNodeUtilization 	 AvgLinkUtilization 	 MIPExecTime
0  62  277  ARRIVE  true     35.9398     39.7021      0.0187      0.0030  0.1
1  125  732  ARRIVE  true     38.1573     41.7567      0.0373      0.0066  0.1
2  187  451  ARRIVE  true     38.2424     41.8796      0.0566      0.0098  0.1
3  250  835  ARRIVE  true    121.3764    138.4921      0.0921      0.0230  17.0
4  312  396  ARRIVE  true    127.2840    144.7107      0.1232      0.0388  13.0
0  339  277  DEPART  true     35.9398     39.7021      0.1045      0.0358  0.1
5  375  1464  ARRIVE  true    108.4921    121.7618      0.1414      0.0474  10.9
6  437  278  ARRIVE  true     51.6153     58.5481      0.1619      0.0502  0.1
7  500  2505  ARRIVE  true     37.5115     42.3693      0.1753      0.0526  0.1
8  562  909  ARRIVE  true     76.7837     89.4226      0.2022      0.0586  0.4
9  625  451  ARRIVE  true     51.8993     60.3083      0.2175      0.0626  0.1
2  638  451  DEPART  true     38.2424     41.8796      0.1982      0.0593  0.1
10  687  295  ARRIVE  true    126.7956    145.3269      0.2401      0.0730  8.8
4  708  396  DEPART  true    127.2840    144.7107      0.2089      0.0572  13.0
6  715  278  DEPART  true     51.6153     58.5481      0.1885      0.0544  0.1
11  750  1021  ARRIVE  true     69.7475     79.5021      0.2103      0.0614  0.9
12  812  479  ARRIVE  true    123.8696    140.5798      0.2415      0.0761  31.3
1  857  732  DEPART  true     38.1573     41.7567      0.2229      0.0725  0.1
13  875  1127  ARRIVE  true     94.7321    107.0528      0.2559      0.0817  3.0
14  937  744  ARRIVE  true    107.5072    125.1555      0.2835      0.0936  7.5
10  982  295  DEPART  true    126.7956    145.3269      0.2416      0.0800  8.8
15  1000  1528  ARRIVE  true    132.2745    152.2495      0.2871      0.0928  19.7
16  1062  482  ARRIVE  true    125.0814    148.2285      0.3236      0.1056  7.5
9  1076  451  DEPART  true     51.8993     60.3083      0.3084      0.1016  0.1
3  1085  835  DEPART  true    121.3764    138.4921      0.2728      0.0884  17.0
