EventIndex 	 Time 	 Duration 	 EventType 	 Accepted 	 TotalRev 	 TotalCost 	 AvgNodeUtilization 	 AvgLinkUtilization 	 MIPExecTime
0  62  323  ARRIVE  true     42.0437     43.5528      0.0156      0.0027  0.0
1  125  626  ARRIVE  true     44.3728     45.6791      0.0289      0.0048  0.0
2  187  2498  ARRIVE  true     41.6176     43.8346      0.0438      0.0069  0.1
3  250  453  ARRIVE  true    142.1061    150.8757      0.0832      0.0194  1.4
4  312  1485  ARRIVE  true    147.2817    172.1569      0.1199      0.0376  1.5
5  375  392  ARRIVE  true    129.6203    132.5420      0.1578      0.0454  1.0
0  385  323  DEPART  true     42.0437     43.5528      0.1422      0.0427  0.0
6  437  1002  ARRIVE  true     62.9026     64.4746      0.1646      0.0458  0.0
7  500  685  ARRIVE  true     47.6594     47.6594      0.1780      0.0484  0.0
8  562  2805  ARRIVE  true     88.7201     92.5891      0.2021      0.0537  0.2
9  625  1078  ARRIVE  true     62.2003     66.0353      0.2204      0.0574  0.0
10  687  268  ARRIVE  true    143.1265    157.8776      0.2585      0.0714  1.9
3  703  453  DEPART  true    142.1061    150.8757      0.2192      0.0590  1.4
11  750  1174  ARRIVE  true     79.8078     87.0408      0.2413      0.0649  0.2
1  751  626  DEPART  true     44.3728     45.6791      0.2280      0.0627  0.0
5  767  392  DEPART  true    129.6203    132.5420      0.1900      0.0549  1.0
12  812  349  ARRIVE  true    134.2026    144.1855      0.2267      0.0711  6.0
13  875  250  ARRIVE  true    111.2430    112.5230      0.2590      0.0799  0.3
14  937  1594  ARRIVE  true    121.0963    128.5208      0.2937      0.0916  0.6
10  955  268  DEPART  true    143.1265    157.8776      0.2556      0.0776  1.9
15  1000  335  ARRIVE  true    160.1105    181.0300      0.2953      0.0938  1.6
16  1062  1253  ARRIVE  true    150.3429    178.8832      0.3284      0.1097  1.6
17  1125  1817  ARRIVE  true    122.1104    129.0952      0.3678      0.1184  1.4
13  1125  250  DEPART  true    111.2430    112.5230      0.3355      0.1096  0.3
12  1161  349  DEPART  true    134.2026    144.1855      0.2989      0.0935  6.0
7  1185  685  DEPART  true     47.6594     47.6594      0.2855      0.0909  0.0
18  1187  552  ARRIVE  true    125.8900    137.4614      0.3199      0.1038  1.2
19  1309  751  ARRIVE  true     84.9535     90.1215      0.3450      0.1108  0.2
15  1335  335  DEPART  true    160.1105    181.0300      0.3053      0.0946  1.6
20  1369  380  ARRIVE  true    104.5382    126.2513      0.3273      0.1058  0.6
